Campaign ID,Timestamp,Date,InventoryType,Ad Type,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC
122918,2014-09-08-00,9/8/2014,Format1,Inter221,"2,173,479","1,272,893",1253615,2400,1934.48,35,1257.41,0.19%,$1.54,$0.81
122919,2014-09-07-19,9/7/2014,Format5,Inter226,"495,068","197,600",170713,18873,1267.61,35,823.94,11.06%,$7.43,$0.07
122920,2014-09-08-11,9/8/2014,Format5,Inter227,"180,799","116,713",100091,12107,1327.33,35,862.76,12.10%,$13.26,$0.11
122921,2014-09-08-02,9/8/2014,Format3,Inter228,"827,031","368,650",347549,1038,509,35,330.85,0.30%,$1.46,$0.49
122922,2014-09-08-16,9/8/2014,Format1,Inter222,"3,782,142","2,118,740",2090139,5522,3540.71,33,2372.27,0.26%,$1.69,$0.64
122923,2014-09-08-08,9/8/2014,Format1,Inter223,"2,457,826","1,413,959",1390007,3417,2889.4,35,1878.11,0.25%,$2.08,$0.85
122924,2014-09-07-19,9/7/2014,Format5,Inter228,"551,813","224,535",198031,26319,1525.37,35,991.49,13.29%,$7.70,$0.06
122925,2014-09-08-14,9/8/2014,Format5,Inter229,"151,935","100,881",88802,12529,1134.8,35,737.62,14.11%,$12.78,$0.09
122926,2014-09-08-10,9/8/2014,Format4,Inter224,"493,480","389,457",333804,57305,6805.37,30,4763.76,17.17%,$20.39,$0.12
122927,2014-09-07-21,9/7/2014,Format3,Inter229,"4,262,750","1,378,920",1265717,6580,1439.98,35,935.99,0.52%,$1.14,$0.22
122928,2014-09-07-22,9/7/2014,Format3,inter230,"3,703,796","1,133,180",1053287,5209,1174.9,35,763.68,0.49%,$1.12,$0.23
122929,2014-09-07-19,9/7/2014,Format1,Inter224,"6,992,688","4,314,515",4224704,9931,4909.74,33,3289.53,0.24%,$1.16,$0.49
122930,2014-09-07-18,9/7/2014,Format1,Inter225,"6,164,095","3,904,977",3819305,9041,4633.24,33,3104.27,0.24%,$1.21,$0.51
